wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GP,GS,BS,RND
2.0,6000.0,0.0,113789.0,116203.0,113695.0,113789.0,142814.0,150829.0,150829.0,155037.0
2.0,6000.0,0.0,114231.0,115093.0,112872.0,114231.0,141444.0,147124.0,147124.0,154590.0
2.0,6000.0,0.0,117314.0,115911.0,111687.0,117314.0,139164.0,142781.0,142781.0,153215.0
3.0,6000.0,0.0,118618.0,120506.0,118906.0,118618.0,165978.0,180881.0,180881.0,186477.0
3.0,6000.0,0.0,118080.0,120469.0,118798.0,118080.0,164592.0,177276.0,177276.0,186182.0
3.0,6000.0,0.0,117403.0,119308.0,118098.0,117403.0,161697.0,173349.0,173349.0,185186.0
4.0,6000.0,0.0,121576.0,122252.0,121758.0,121576.0,181835.0,200458.0,200458.0,206361.0
4.0,6000.0,0.0,120937.0,121703.0,121367.0,120937.0,179968.0,198437.0,198437.0,206128.0
4.0,6000.0,0.0,121074.0,121617.0,121068.0,121074.0,175531.0,196456.0,196456.0,205325.0
2.0,6600.0,600.0,111474.0,108687.0,107911.0,0.0,126041.0,139464.0,142872.0,149998.0
2.0,6600.0,600.0,110949.0,109161.0,107858.0,0.0,126265.0,135615.0,139091.0,149387.0
2.0,6600.0,600.0,110466.0,107153.0,107120.0,0.0,123897.0,130938.0,134252.0,147444.0
3.0,6600.0,600.0,117099.0,114171.0,113247.0,0.0,150806.0,166316.0,173839.0,180260.0
3.0,6600.0,600.0,117212.0,113743.0,113339.0,0.0,148901.0,162617.0,170280.0,179961.0
3.0,6600.0,600.0,116641.0,113202.0,112642.0,0.0,147413.0,158255.0,165901.0,179058.0
4.0,6600.0,600.0,120435.0,116973.0,117050.0,0.0,167965.0,184192.0,193737.0,199772.0
4.0,6600.0,600.0,120025.0,116519.0,116544.0,0.0,168691.0,181214.0,190813.0,199578.0
4.0,6600.0,600.0,120412.0,116735.0,116119.0,0.0,164958.0,179982.0,186896.0,198989.0
2.0,7200.0,1200.0,109719.0,105841.0,105844.0,0.0,116527.0,129311.0,134761.0,144511.0
2.0,7200.0,1200.0,109070.0,105907.0,105919.0,0.0,116140.0,125440.0,130846.0,143618.0
2.0,7200.0,1200.0,109556.0,105154.0,105092.0,0.0,115203.0,121320.0,125472.0,140991.0
3.0,7200.0,1200.0,116197.0,111306.0,110545.0,0.0,141354.0,152887.0,167066.0,174032.0
3.0,7200.0,1200.0,115472.0,110865.0,110548.0,0.0,140271.0,149433.0,163118.0,173721.0
3.0,7200.0,1200.0,115490.0,110543.0,110263.0,0.0,139680.0,146298.0,158356.0,172803.0
4.0,7200.0,1200.0,119457.0,113584.0,113460.0,0.0,161520.0,171686.0,188114.0,193303.0
4.0,7200.0,1200.0,119236.0,114433.0,114215.0,0.0,159426.0,170026.0,184773.0,193104.0
4.0,7200.0,1200.0,118872.0,114119.0,113677.0,0.0,157448.0,170280.0,180533.0,192493.0
2.0,7000.0,0.0,112845.0,116381.0,112712.0,112845.0,144447.0,150496.0,150496.0,154920.0
2.0,7000.0,0.0,113461.0,115597.0,112426.0,113461.0,143413.0,147099.0,147099.0,154494.0
2.0,7000.0,0.0,111045.0,113078.0,111266.0,111045.0,140006.0,143128.0,143128.0,153107.0
3.0,7000.0,0.0,119259.0,120283.0,117643.0,119259.0,167983.0,180681.0,180681.0,186233.0
3.0,7000.0,0.0,121011.0,118981.0,118067.0,121011.0,165728.0,177711.0,177711.0,185924.0
3.0,7000.0,0.0,116968.0,118820.0,116644.0,116968.0,163581.0,173907.0,173907.0,184910.0
4.0,7000.0,0.0,120213.0,123568.0,120561.0,120213.0,181050.0,200241.0,200241.0,206076.0
4.0,7000.0,0.0,124033.0,123250.0,120148.0,124033.0,180866.0,197123.0,197123.0,205778.0
4.0,7000.0,0.0,119344.0,121016.0,119722.0,119344.0,177454.0,193797.0,193797.0,205017.0
2.0,7700.0,700.0,110887.0,109136.0,107865.0,0.0,128516.0,139284.0,142772.0,149897.0
2.0,7700.0,700.0,110585.0,107061.0,107035.0,0.0,127741.0,136319.0,139231.0,149252.0
2.0,7700.0,700.0,109358.0,106637.0,106602.0,0.0,126262.0,132214.0,134625.0,147337.0
3.0,7700.0,700.0,116387.0,112879.0,112532.0,0.0,152376.0,165747.0,174088.0,180035.0
3.0,7700.0,700.0,115886.0,112326.0,112281.0,0.0,150340.0,162527.0,170680.0,179773.0
3.0,7700.0,700.0,116149.0,112135.0,111711.0,0.0,148787.0,158413.0,166250.0,178824.0
4.0,7700.0,700.0,119278.0,116795.0,116126.0,0.0,167079.0,184063.0,193863.0,199443.0
4.0,7700.0,700.0,118928.0,116854.0,115912.0,0.0,165119.0,181079.0,190652.0,199239.0
4.0,7700.0,700.0,118721.0,116713.0,115439.0,0.0,165671.0,178026.0,187110.0,198604.0
2.0,8400.0,1400.0,109446.0,105939.0,105937.0,0.0,117516.0,129497.0,134976.0,144386.0
2.0,8400.0,1400.0,108059.0,105516.0,105484.0,0.0,118104.0,126854.0,131188.0,143515.0
2.0,8400.0,1400.0,108374.0,104880.0,104851.0,0.0,116497.0,122389.0,126131.0,140848.0
3.0,8400.0,1400.0,115136.0,110360.0,110309.0,0.0,140908.0,153067.0,167406.0,173796.0
3.0,8400.0,1400.0,115237.0,110075.0,110032.0,0.0,141491.0,149437.0,163551.0,173496.0
3.0,8400.0,1400.0,114471.0,110351.0,110312.0,0.0,138751.0,147089.0,158830.0,172553.0
4.0,8400.0,1400.0,118079.0,114701.0,114030.0,0.0,158477.0,173064.0,187895.0,193036.0
4.0,8400.0,1400.0,117613.0,113461.0,113317.0,0.0,161031.0,169505.0,184710.0,192802.0
4.0,8400.0,1400.0,117261.0,113006.0,112629.0,0.0,157660.0,167108.0,180658.0,192212.0
2.0,8000.0,0.0,113989.0,119139.0,111500.0,113989.0,149094.0,151225.0,151225.0,154850.0
2.0,8000.0,0.0,111019.0,117431.0,110886.0,111019.0,145970.0,147861.0,147861.0,154398.0
2.0,8000.0,0.0,110269.0,117470.0,110174.0,110269.0,142836.0,143938.0,143938.0,153041.0
3.0,8000.0,0.0,118433.0,125005.0,115958.0,118433.0,176212.0,181746.0,181746.0,186129.0
3.0,8000.0,0.0,116197.0,120915.0,115494.0,116197.0,173321.0,178539.0,178539.0,185782.0
3.0,8000.0,0.0,116793.0,121512.0,114989.0,116793.0,169610.0,174852.0,174852.0,184797.0
4.0,8000.0,0.0,118182.0,122755.0,118148.0,118182.0,193323.0,200983.0,200983.0,205819.0
4.0,8000.0,0.0,118126.0,123843.0,117978.0,118126.0,190574.0,198509.0,198509.0,205568.0
4.0,8000.0,0.0,117459.0,122716.0,117532.0,117459.0,188088.0,195749.0,195749.0,204778.0
2.0,8800.0,800.0,109827.0,110614.0,108025.0,0.0,133072.0,139757.0,143596.0,149787.0
2.0,8800.0,800.0,108590.0,108379.0,107342.0,0.0,131762.0,136386.0,140100.0,149179.0
2.0,8800.0,800.0,110454.0,108592.0,107482.0,0.0,128908.0,132403.0,135526.0,147268.0
3.0,8800.0,800.0,114768.0,114949.0,112727.0,0.0,159324.0,166837.0,174798.0,179868.0
3.0,8800.0,800.0,113975.0,112770.0,111474.0,0.0,156344.0,163425.0,171612.0,179613.0
3.0,8800.0,800.0,113739.0,112499.0,111098.0,0.0,154018.0,159970.0,167627.0,178698.0
4.0,8800.0,800.0,117147.0,117080.0,115134.0,0.0,175911.0,184744.0,194692.0,199233.0
4.0,8800.0,800.0,115864.0,115073.0,114754.0,0.0,174711.0,182449.0,191891.0,199063.0
4.0,8800.0,800.0,117285.0,114670.0,113894.0,0.0,176037.0,179555.0,188176.0,198388.0
2.0,9600.0,1600.0,108322.0,106006.0,105995.0,0.0,123639.0,129815.0,135792.0,144355.0
2.0,9600.0,1600.0,107849.0,105117.0,105104.0,0.0,122102.0,126691.0,132025.0,143487.0
2.0,9600.0,1600.0,108024.0,104946.0,104930.0,0.0,117327.0,122670.0,127033.0,140757.0
3.0,9600.0,1600.0,113589.0,111329.0,111233.0,0.0,146620.0,154218.0,168419.0,173661.0
3.0,9600.0,1600.0,113308.0,109829.0,109591.0,0.0,145491.0,150072.0,164929.0,173341.0
3.0,9600.0,1600.0,112590.0,109968.0,109894.0,0.0,146403.0,147804.0,160219.0,172423.0
4.0,9600.0,1600.0,116285.0,114083.0,113419.0,0.0,167561.0,171758.0,189165.0,192868.0
4.0,9600.0,1600.0,116532.0,115336.0,113027.0,0.0,168158.0,171767.0,185995.0,192630.0
4.0,9600.0,1600.0,115628.0,112826.0,112218.0,0.0,166489.0,169650.0,182199.0,192008.0
2.0,9000.0,0.0,114623.0,118922.0,114182.0,114623.0,145618.0,149858.0,149858.0,155118.0
2.0,9000.0,0.0,113714.0,118437.0,113178.0,113714.0,141875.0,146100.0,146100.0,154680.0
2.0,9000.0,0.0,112219.0,116257.0,112062.0,112219.0,139545.0,141695.0,141695.0,153325.0
3.0,9000.0,0.0,119469.0,125318.0,119515.0,119469.0,168931.0,179809.0,179809.0,186645.0
3.0,9000.0,0.0,120298.0,125358.0,119159.0,120298.0,167010.0,176015.0,176015.0,186316.0
3.0,9000.0,0.0,119205.0,122001.0,118120.0,119205.0,162293.0,171649.0,171649.0,185337.0
4.0,9000.0,0.0,122579.0,126779.0,124069.0,122579.0,184953.0,198868.0,198868.0,206623.0
4.0,9000.0,0.0,122145.0,125935.0,122130.0,122145.0,181114.0,195364.0,195364.0,206333.0
4.0,9000.0,0.0,121481.0,126177.0,121477.0,121481.0,178816.0,193370.0,193370.0,205505.0
2.0,9900.0,900.0,112023.0,112690.0,111189.0,0.0,127826.0,138152.0,141919.0,150081.0
2.0,9900.0,900.0,112187.0,110874.0,108874.0,0.0,128042.0,134249.0,137976.0,149446.0
2.0,9900.0,900.0,110127.0,109747.0,108133.0,0.0,122799.0,129819.0,132718.0,147531.0
3.0,9900.0,900.0,118038.0,119369.0,116035.0,0.0,153534.0,164527.0,172487.0,180422.0
3.0,9900.0,900.0,117954.0,116007.0,114275.0,0.0,150993.0,160155.0,168476.0,180159.0
3.0,9900.0,900.0,117784.0,115592.0,113933.0,0.0,150295.0,156167.0,163804.0,179229.0
4.0,9900.0,900.0,121523.0,120674.0,117804.0,0.0,172034.0,182240.0,192276.0,199957.0
4.0,9900.0,900.0,120965.0,119254.0,117885.0,0.0,169284.0,180522.0,188837.0,199814.0
4.0,9900.0,900.0,120899.0,119392.0,117884.0,0.0,167947.0,176290.0,184794.0,199096.0
2.0,10800.0,1800.0,110234.0,107382.0,107436.0,0.0,120819.0,128346.0,133829.0,144597.0
2.0,10800.0,1800.0,109714.0,107103.0,107114.0,0.0,117305.0,124483.0,129410.0,143757.0
2.0,10800.0,1800.0,107595.0,105509.0,105387.0,0.0,115793.0,120001.0,123503.0,141067.0
3.0,10800.0,1800.0,116907.0,113834.0,112800.0,0.0,143398.0,152035.0,165410.0,174212.0
3.0,10800.0,1800.0,115985.0,112468.0,111407.0,0.0,143219.0,148615.0,161261.0,173909.0
3.0,10800.0,1800.0,116122.0,112402.0,111806.0,0.0,141139.0,146931.0,156059.0,172888.0
4.0,10800.0,1800.0,120135.0,116528.0,115848.0,0.0,161501.0,172255.0,186273.0,193550.0
4.0,10800.0,1800.0,119915.0,116542.0,116306.0,0.0,161459.0,169825.0,182729.0,193328.0
4.0,10800.0,1800.0,119340.0,116138.0,115131.0,0.0,156974.0,167871.0,178317.0,192703.0
2.0,10000.0,0.0,113841.0,117594.0,113395.0,113841.0,140385.0,150529.0,150529.0,155128.0
2.0,10000.0,0.0,113902.0,117146.0,112505.0,113902.0,140996.0,146732.0,146732.0,154680.0
2.0,10000.0,0.0,111776.0,115555.0,111414.0,111776.0,138904.0,142385.0,142385.0,153302.0
3.0,10000.0,0.0,118670.0,122529.0,118777.0,118670.0,163820.0,180493.0,180493.0,186654.0
3.0,10000.0,0.0,118316.0,123443.0,118584.0,118316.0,160167.0,176911.0,176911.0,186314.0
3.0,10000.0,0.0,118139.0,121052.0,117351.0,118139.0,158411.0,172851.0,172851.0,185294.0
4.0,10000.0,0.0,124127.0,123968.0,121514.0,124127.0,176677.0,199966.0,199966.0,206588.0
4.0,10000.0,0.0,122617.0,123311.0,121086.0,122617.0,173737.0,198154.0,198154.0,206333.0
4.0,10000.0,0.0,120795.0,122920.0,120495.0,120795.0,171532.0,194611.0,194611.0,205529.0
2.0,11000.0,1000.0,111513.0,109861.0,109924.0,0.0,125895.0,138595.0,142568.0,150082.0
2.0,11000.0,1000.0,110781.0,112110.0,110044.0,0.0,126362.0,134922.0,138627.0,149445.0
2.0,11000.0,1000.0,111179.0,107419.0,106932.0,0.0,122790.0,130212.0,133701.0,147580.0
3.0,11000.0,1000.0,117322.0,115174.0,114004.0,0.0,148099.0,165038.0,173473.0,180383.0
3.0,11000.0,1000.0,117114.0,114630.0,113793.0,0.0,146213.0,161491.0,169786.0,180123.0
3.0,11000.0,1000.0,115939.0,115959.0,113432.0,0.0,147003.0,157053.0,165295.0,179224.0
4.0,11000.0,1000.0,120315.0,118486.0,117216.0,0.0,165056.0,182843.0,193445.0,199946.0
4.0,11000.0,1000.0,120061.0,117464.0,116813.0,0.0,166709.0,180396.0,190169.0,199746.0
4.0,11000.0,1000.0,119452.0,118092.0,116506.0,0.0,162176.0,178126.0,186176.0,199147.0
2.0,12000.0,2000.0,109820.0,106177.0,106183.0,0.0,117171.0,128454.0,134442.0,144592.0
2.0,12000.0,2000.0,108493.0,106005.0,106008.0,0.0,115962.0,124603.0,130402.0,143728.0
2.0,12000.0,2000.0,108307.0,105194.0,105176.0,0.0,115931.0,120439.0,124867.0,141070.0
3.0,12000.0,2000.0,115816.0,112244.0,111439.0,0.0,138751.0,152667.0,166687.0,174175.0
3.0,12000.0,2000.0,114962.0,112011.0,111673.0,0.0,141511.0,148630.0,162784.0,173849.0
3.0,12000.0,2000.0,115491.0,112319.0,111350.0,0.0,138597.0,146403.0,157840.0,172888.0
4.0,12000.0,2000.0,119240.0,114960.0,114777.0,0.0,156720.0,174336.0,187647.0,193490.0
4.0,12000.0,2000.0,119067.0,115256.0,114994.0,0.0,158041.0,169940.0,184136.0,193310.0
4.0,12000.0,2000.0,119230.0,116456.0,114621.0,0.0,155006.0,166230.0,179738.0,192672.0
